id,gw,xPts,xMins,Pts,f_error
63,6,1.73,1.32,0.0,1.73
63,8,1.57,3.95,0.0,1.57
63,9,1.78,6.58,0.0,1.78
64,10,2.92,82.14,2.0,0.9199999999999999
64,1,2.59,73.02,10.0,-7.41
64,2,2.04,75.5,0.0,2.04
64,3,2.54,75.5,2.0,0.54
64,4,2.12,78.24,2.0,0.1200000000000001
64,5,2.9,80.4,3.0,-0.10000000000000009
64,6,2.8,78.24,2.0,0.7999999999999998
64,8,2.49,82.14,2.0,0.4900000000000002
64,9,2.96,82.14,2.0,0.96
65,10,2.01,10.66,1.0,1.0099999999999998
65,1,3.01,24.63,0.0,3.01
65,2,1.15,4.74,-1.0,2.15
65,3,2.38,38.5,0.0,2.38
65,4,1.44,29.47,0.0,1.44
65,5,3.27,26.68,0.0,3.27
65,6,2.75,20.0,1.0,1.75
65,8,1.79,9.47,1.0,0.79
65,9,2.14,9.47,0.0,2.14
66,10,4.25,80.4,8.0,-3.75
66,1,4.12,82.14,2.0,2.12
66,2,2.85,79.98,0.0,2.85
66,3,3.11,43.5,0.0,3.11
66,4,2.54,56.83,1.0,1.54
66,5,3.78,71.0,2.0,1.7799999999999998
66,6,3.98,78.24,12.0,-8.02
66,8,3.37,80.4,2.0,1.37
66,9,4.29,80.4,2.0,2.29
67,10,2.26,63.5,2.0,0.2599999999999998
67,1,2.36,69.55,1.0,1.3599999999999999
67,2,1.63,44.64,2.0,-0.3700000000000001
67,3,1.85,44.64,1.0,0.8500000000000001
67,4,1.42,29.47,2.0,-0.5800000000000001
67,5,1.63,29.47,3.0,-1.37
67,6,1.6,29.47,6.0,-4.4
67,8,2.24,73.89,2.0,0.2400000000000002
67,9,2.51,73.4,3.0,-0.4900000000000002
68,10,1.68,25.26,0.0,1.68
68,1,1.43,3.95,2.0,-0.5700000000000001
68,2,1.48,33.16,2.0,-0.52
68,3,1.67,33.16,1.0,0.6699999999999999
68,4,1.8,63.5,1.0,0.8
68,5,1.99,46.17,0.0,1.99
68,6,2.09,56.83,0.0,2.09
68,8,0.0,0.0,0.0,0.0
68,9,0.0,0.0,0.0,0.0
69,10,2.72,54.93,9.0,-6.279999999999999
69,1,3.15,71.29,1.0,2.15
69,2,1.72,31.97,2.0,-0.28
69,3,2.43,49.21,1.0,1.4300000000000002
69,4,1.91,48.5,1.0,0.9099999999999999
69,5,2.53,49.79,3.0,-0.4700000000000002
69,6,2.32,43.5,2.0,0.31999999999999984
69,8,2.43,60.86,1.0,1.4300000000000002
69,9,2.89,60.3,1.0,1.8900000000000001
70,10,2.96,64.67,10.0,-7.04
70,1,3.12,71.29,2.0,1.12
70,2,2.21,70.36,1.0,1.21
70,3,2.82,70.36,2.0,0.8199999999999998
70,4,1.96,53.5,1.0,0.96
70,5,2.62,53.5,3.0,-0.3799999999999999
70,6,2.46,48.83,7.0,-4.54
70,8,2.53,69.04,9.0,-6.470000000000001
70,9,3.16,69.04,3.0,0.16000000000000014
71,10,2.79,82.14,2.0,0.79
71,1,3.06,84.55,7.0,-3.94
71,2,1.17,71.07,-1.0,2.17
71,3,2.39,49.79,1.0,1.3900000000000001
71,4,1.3,76.83,-4.0,5.3
71,5,3.23,71.07,8.0,-4.77
71,6,2.68,67.5,1.0,1.6800000000000002
71,8,2.47,76.36,2.0,0.4700000000000002
71,9,3.09,82.14,6.0,-2.91
72,10,3.03,10.39,0.0,3.03
72,1,3.44,81.42,6.0,-2.56
72,2,1.53,27.79,1.0,0.53
72,3,2.79,8.18,2.0,0.79
72,4,1.8,71.4,-1.0,2.8
72,5,3.82,62.18,0.0,3.82
72,6,3.46,24.22,0.0,3.46
72,8,2.88,10.39,0.0,2.88
72,9,3.23,10.4,0.0,3.23
73,10,0.0,0.0,0.0,0.0
73,1,3.06,70.55,12.0,-8.94
73,2,1.34,84.55,0.0,1.34
73,3,2.8,84.55,1.0,1.7999999999999998
73,4,1.5,83.89,0.0,1.5
